asteroid_ID,asteroid_name,asteroid_class,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92
1,Ceres,1,0.9281,0.9388,0.9488,0.9572,0.9643,0.9716,0.9788,0.9859,0.9923,0.9955,0.9969,1,1.004,1.0056,1.0037,1.0036,1.0044,1.0071,1.0107,1.0113,1.0117,1.0127,1.0128,1.0124,1.0151,1.016,1.0146,1.0178,1.0222,1.0216,1.0191,1.0179,1.0167,1.0149,1.0161,1.0176,1.0178,1.0196,1.02,1.0164,1.0135,1.014,1.0147,1.0151,1.0142,1.0146,1.0165,1.0181,1.02
2,Pallas,2,0.9758,0.9788,0.9816,0.9842,0.9866,0.9889,0.9914,0.9939,0.9954,0.9961,0.9979,1,1.0016,1.002,1.0018,1.0023,1.0023,1.0024,1.003,1.0025,1.0012,1.0002,0.9982,0.9968,0.998,0.9993,0.9988,1.0012,1.0057,1.0041,0.9989,0.9958,0.9938,0.9915,0.9913,0.9934,0.9956,0.9976,0.9962,0.9906,0.9856,0.9835,0.9826,0.9822,0.9817,0.9817,0.9815,0.9795,0.9762
3,Juno,4,0.8692,0.8824,0.8962,0.9096,0.9224,0.9351,0.9472,0.9575,0.9669,0.978,0.9896,1,1.0079,1.0147,1.022,1.0295,1.0385,1.0466,1.0526,1.0604,1.0701,1.0796,1.0855,1.0894,1.0933,1.098,1.1041,1.108,1.1088,1.1101,1.1086,1.1029,1.0955,1.0896,1.0856,1.079,1.0703,1.0607,1.052,1.0474,1.0419,1.0333,1.0252,1.0183,1.0119,1.007,1.0055,1.0058,1.0038
4,Vesta,2,0.8929,0.9047,0.9166,0.9282,0.9392,0.9494,0.9595,0.97,0.9804,0.9892,0.9954,1,1.0051,1.0108,1.0149,1.0177,1.0218,1.0268,1.0323,1.0377,1.0431,1.0481,1.0526,1.0583,1.0642,1.0692,1.0741,1.0798,1.0831,1.0864,1.0913,1.0917,1.0867,1.0764,1.0599,1.0391,1.014,0.9843,0.9531,0.9255,0.8985,0.8727,0.8493,0.8279,0.8105,0.7975,0.7906,0.7903,0.7943
5,Astraea,4,0.8395,0.8573,0.8749,0.8918,0.9073,0.9217,0.9355,0.9492,0.963,0.9756,0.9874,1,1.0122,1.0219,1.0292,1.0361,1.0446,1.0556,1.0671,1.0776,1.0881,1.0979,1.1069,1.1174,1.129,1.1392,1.1475,1.1545,1.1598,1.164,1.167,1.1669,1.1634,1.1563,1.1471,1.1378,1.1269,1.1146,1.1018,1.0906,1.0781,1.0649,1.0532,1.0433,1.0358,1.0314,1.0297,1.0319,1.0368
6,Hebe,4,0.8499,0.8633,0.8768,0.8909,0.9053,0.9189,0.9306,0.9409,0.9525,0.968,0.9854,1,1.0127,1.0256,1.0386,1.0502,1.0606,1.0703,1.0785,1.0875,1.0986,1.1101,1.1214,1.131,1.1371,1.141,1.1442,1.1473,1.1502,1.1534,1.1549,1.1543,1.1519,1.1474,1.1399,1.1313,1.122,1.1119,1.1036,1.097,1.0893,1.0793,1.0707,1.0658,1.0629,1.0611,1.0615,1.065,1.0705
7,Iris,4,0.8347,0.8488,0.8639,0.8799,0.8961,0.9126,0.9287,0.9447,0.9614,0.976,0.9873,1,1.0134,1.0253,1.0339,1.0419,1.0512,1.0612,1.073,1.0843,1.0951,1.1052,1.1147,1.1245,1.1345,1.1437,1.1524,1.1589,1.1651,1.1696,1.1716,1.1712,1.1678,1.1603,1.1516,1.1433,1.1341,1.1249,1.1169,1.1094,1.0997,1.0882,1.079,1.0705,1.0623,1.0567,1.0533,1.0529,1.055
10,Hygiea,1,0.9598,0.9654,0.9709,0.9761,0.9814,0.9856,0.9877,0.9887,0.9895,0.9933,0.9976,1,1.0009,1.0003,1.001,1.0014,1.0016,1.002,1.0014,1.0013,1.0018,1.0027,1.0035,1.0027,1.0015,0.9987,1,1.0028,1.0003,0.9965,0.996,0.9931,0.9887,0.9882,0.9923,0.993,0.9926,0.9906,0.9853,0.9838,0.9863,0.9868,0.9855,0.9845,0.9853,0.9866,0.984,0.9821,0.986
11,Parthenope,4,0.862,0.8789,0.8955,0.9111,0.9252,0.9382,0.9502,0.9615,0.9717,0.98,0.9889,1,1.011,1.02,1.026,1.0319,1.039,1.0477,1.057,1.0649,1.0719,1.0782,1.0822,1.0864,1.0927,1.0998,1.1063,1.1133,1.1168,1.1176,1.1199,1.1194,1.1141,1.1061,1.0994,1.0942,1.0885,1.0807,1.0713,1.0647,1.0594,1.0521,1.0443,1.0367,1.0305,1.0269,1.025,1.0261,1.0295
12,Victoria,2,0.8031,0.825,0.8464,0.8671,0.8865,0.9049,0.922,0.9383,0.9546,0.9704,0.9855,1,1.0147,1.0288,1.0409,1.0525,1.0648,1.0783,1.0927,1.1065,1.1197,1.132,1.1439,1.1556,1.1673,1.1779,1.1878,1.1978,1.2071,1.2138,1.2167,1.216,1.2128,1.2086,1.2054,1.2045,1.2042,1.2041,1.2039,1.2037,1.2025,1.2,1.1987,1.1993,1.202,1.2078,1.2159,1.2258,1.237
